source,target
age,BASELINE_RISK
sex_Male,BASELINE_RISK
sex_Female,BASELINE_RISK
education_HS,SOCIAL
education_College,SOCIAL
education_Grad,SOCIAL
income,SOCIAL
bmi,LIFESTYLE
smoking_Never,LIFESTYLE
smoking_Former,LIFESTYLE
smoking_Current,LIFESTYLE
family_history_Yes,GENETICS
family_history_No,GENETICS
ethnicity_Black,GENETICS
ethnicity_Asian,GENETICS
bp_systolic,CARDIO
cholesterol,CARDIO
hypertension,CARDIO
age,CARDIO
bmi,METABOLIC
diabetes,METABOLIC
cholesterol,METABOLIC
ethnicity_Hispanic,OTHER
ethnicity_White,OTHER
